,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[249],0.733,0.109,0.528,0.917,0.001,0.001,8951.0,4248.0,1.0
p[250],0.53,0.134,0.279,0.771,0.001,0.001,9062.0,4405.0,1.0
p[251],0.591,0.132,0.345,0.83,0.001,0.001,8704.0,4954.0,1.0
p[252],0.704,0.117,0.491,0.906,0.001,0.001,9218.0,4900.0,1.0
p[253],0.595,0.13,0.347,0.825,0.001,0.002,9739.0,4898.0,1.0
p[254],0.35,0.136,0.115,0.603,0.002,0.002,6730.0,4673.0,1.0
p[255],0.431,0.135,0.172,0.669,0.001,0.002,10055.0,4356.0,1.0
p[256],0.789,0.095,0.615,0.952,0.001,0.001,7881.0,4616.0,1.0
p[257],0.862,0.08,0.715,0.979,0.001,0.001,8816.0,5140.0,1.0
p[258],0.702,0.117,0.489,0.91,0.001,0.001,8563.0,4838.0,1.0
p[259],0.413,0.137,0.172,0.683,0.002,0.002,8170.0,4359.0,1.0
p[260],0.834,0.084,0.679,0.97,0.001,0.001,8360.0,4531.0,1.0
p[261],0.582,0.132,0.333,0.825,0.001,0.002,10115.0,4678.0,1.0
p[262],0.745,0.105,0.544,0.921,0.001,0.001,8784.0,4682.0,1.0
p[263],0.829,0.089,0.662,0.97,0.001,0.001,7715.0,4841.0,1.0
p[264],0.623,0.129,0.382,0.847,0.001,0.002,9717.0,4673.0,1.0
p[265],0.55,0.133,0.304,0.799,0.001,0.002,9218.0,4631.0,1.0
p[266],0.847,0.08,0.692,0.971,0.001,0.001,8309.0,4679.0,1.0
p[267],0.373,0.131,0.137,0.617,0.001,0.002,8879.0,4657.0,1.0
p[268],0.281,0.109,0.099,0.496,0.001,0.001,7309.0,4466.0,1.0
p[269],0.549,0.129,0.322,0.798,0.001,0.001,8854.0,4739.0,1.0
p[270],0.391,0.125,0.17,0.625,0.001,0.001,8379.0,4977.0,1.0
p[271],0.546,0.133,0.293,0.788,0.001,0.001,8603.0,5134.0,1.0
p[272],0.767,0.124,0.532,0.96,0.001,0.002,7300.0,4596.0,1.0
p[273],0.482,0.133,0.235,0.723,0.001,0.001,8664.0,5162.0,1.0
p[274],0.11,0.069,0.01,0.239,0.001,0.001,4844.0,4488.0,1.0
p[275],0.394,0.126,0.167,0.63,0.001,0.001,8398.0,4938.0,1.0
p[276],0.25,0.102,0.069,0.437,0.001,0.001,8857.0,5398.0,1.0
p[277],0.253,0.102,0.071,0.438,0.001,0.001,8710.0,5168.0,1.0
p[278],0.543,0.138,0.286,0.796,0.001,0.001,8612.0,5041.0,1.0
p[279],0.189,0.091,0.034,0.352,0.001,0.001,7326.0,4427.0,1.0
p[280],0.415,0.13,0.181,0.664,0.001,0.002,8656.0,4883.0,1.0
p[281],0.352,0.12,0.125,0.573,0.001,0.002,8484.0,5116.0,1.0
p[282],0.674,0.126,0.443,0.904,0.001,0.002,8307.0,3980.0,1.0
p[283],0.596,0.131,0.345,0.828,0.001,0.002,8878.0,4792.0,1.0
p[284],0.764,0.11,0.555,0.944,0.001,0.001,9812.0,5256.0,1.0
p[285],0.89,0.066,0.766,0.984,0.001,0.001,8710.0,5092.0,1.0
p[286],0.849,0.077,0.704,0.968,0.001,0.001,9097.0,4890.0,1.0
p[287],0.267,0.132,0.032,0.498,0.002,0.001,5500.0,4370.0,1.0
p[288],0.822,0.085,0.668,0.966,0.001,0.001,9686.0,4840.0,1.0
p[289],0.745,0.114,0.531,0.935,0.001,0.002,9339.0,5236.0,1.0
p[290],0.413,0.143,0.154,0.671,0.002,0.001,6871.0,4505.0,1.0
p[291],0.498,0.135,0.226,0.732,0.001,0.001,10672.0,5470.0,1.0
p[292],0.951,0.049,0.867,0.999,0.001,0.001,7582.0,5071.0,1.0
p[293],0.502,0.135,0.253,0.745,0.001,0.001,10613.0,5231.0,1.0
p[294],0.521,0.141,0.27,0.789,0.002,0.002,8491.0,4506.0,1.0
p[295],0.801,0.107,0.595,0.958,0.001,0.002,7749.0,5121.0,1.0
p[296],0.839,0.085,0.686,0.974,0.001,0.001,7532.0,4840.0,1.0
p[297],0.684,0.12,0.458,0.888,0.001,0.002,8918.0,4510.0,1.0
p[298],0.15,0.075,0.026,0.287,0.001,0.001,7547.0,4542.0,1.0
p[299],0.308,0.122,0.103,0.54,0.001,0.002,9535.0,4423.0,1.0
p[300],0.184,0.085,0.045,0.338,0.001,0.001,9759.0,5226.0,1.0
p[301],0.225,0.1,0.06,0.409,0.001,0.001,8681.0,4912.0,1.0
p[302],0.298,0.122,0.093,0.529,0.001,0.001,9371.0,5252.0,1.0
p[303],0.422,0.137,0.187,0.687,0.001,0.001,9781.0,5004.0,1.0
p[304],0.053,0.039,0.003,0.126,0.001,0.001,5310.0,4444.0,1.0
p[305],0.227,0.097,0.07,0.416,0.001,0.001,9489.0,4492.0,1.0
p[306],0.097,0.058,0.012,0.203,0.001,0.001,6543.0,4501.0,1.0
p[307],0.388,0.133,0.152,0.637,0.002,0.002,7794.0,4446.0,1.0
p[308],0.521,0.154,0.252,0.812,0.002,0.001,8595.0,4988.0,1.0
p[309],0.286,0.117,0.082,0.499,0.001,0.002,9006.0,4577.0,1.0
p[310],0.123,0.067,0.018,0.246,0.001,0.001,8105.0,4441.0,1.0
p[311],0.218,0.097,0.06,0.402,0.001,0.001,9652.0,4602.0,1.0
p[312],0.249,0.106,0.067,0.446,0.001,0.002,9505.0,4518.0,1.0
p[313],0.197,0.093,0.05,0.37,0.001,0.001,8954.0,4667.0,1.0
p[314],0.485,0.145,0.211,0.739,0.002,0.002,8437.0,4397.0,1.0
p[315],0.282,0.113,0.09,0.491,0.001,0.001,7611.0,4418.0,1.0
p[316],0.549,0.133,0.311,0.8,0.001,0.001,8899.0,5071.0,1.0
p[317],0.334,0.118,0.112,0.542,0.001,0.001,9075.0,4975.0,1.0
p[318],0.536,0.136,0.277,0.776,0.001,0.002,9040.0,4700.0,1.0
p[319],0.594,0.133,0.357,0.844,0.001,0.001,8759.0,4982.0,1.0
p[320],0.482,0.136,0.235,0.733,0.001,0.002,8715.0,4883.0,1.0
p[321],0.11,0.07,0.009,0.239,0.001,0.001,5190.0,4320.0,1.0
p[322],0.194,0.096,0.035,0.369,0.001,0.001,5993.0,4480.0,1.0
p[323],0.251,0.105,0.067,0.442,0.001,0.001,10047.0,4799.0,1.0
p[324],0.583,0.134,0.334,0.823,0.001,0.002,8259.0,4693.0,1.0
p[325],0.469,0.136,0.216,0.717,0.001,0.001,8938.0,4851.0,1.0
p[326],0.415,0.131,0.17,0.66,0.001,0.002,9067.0,4469.0,1.0
p[327],0.523,0.134,0.264,0.763,0.001,0.002,8804.0,4709.0,1.0
p[328],0.655,0.134,0.411,0.889,0.002,0.001,7732.0,4805.0,1.0
p[329],0.353,0.125,0.138,0.59,0.001,0.001,8457.0,4679.0,1.0
p[330],0.625,0.135,0.376,0.871,0.001,0.002,8877.0,4441.0,1.0
p[331],0.596,0.135,0.344,0.836,0.001,0.002,9717.0,4278.0,1.0
p[332],0.818,0.085,0.657,0.957,0.001,0.001,8276.0,4765.0,1.0
p[333],0.82,0.088,0.657,0.963,0.001,0.001,7468.0,4447.0,1.0
p[334],0.454,0.166,0.144,0.751,0.002,0.002,5604.0,4581.0,1.0
p[335],0.806,0.09,0.636,0.95,0.001,0.001,9162.0,4805.0,1.0
p[336],0.873,0.069,0.748,0.978,0.001,0.001,7784.0,5044.0,1.0
p[337],0.812,0.091,0.638,0.957,0.001,0.001,8460.0,4691.0,1.0
